2021-09-11 01:47:37, INFO: Current git head hash code: 0c0a09065025679c77ccd9c0ac86f8de6d820bee
2021-09-11 01:47:37, INFO: Using device: cpu
2021-09-11 01:47:37, INFO: Policy: SARL w/ global state
2021-09-11 01:47:37, INFO: human number: 5
2021-09-11 01:47:37, INFO: Not randomize human's radius and preferred speed
2021-09-11 01:47:37, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2021-09-11 01:47:37, INFO: Square width: 10.0, circle width: 4.0
2021-09-11 01:47:37, INFO: Current learning rate: 0.010000
2021-09-11 02:00:30, INFO: TRAIN in episode 39 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1519
2021-09-11 02:00:35, INFO: TRAIN in episode 40 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0272
2021-09-11 02:00:40, INFO: TRAIN in episode 41 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0108
2021-09-11 02:00:42, INFO: TRAIN in episode 42 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1456
2021-09-11 02:00:46, INFO: TRAIN in episode 43 has success rate: 1.00, collision rate: 0.00, nav time: 20.75, total reward: 0.1153
2021-09-11 02:00:51, INFO: TRAIN in episode 44 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-09-11 02:00:55, INFO: TRAIN in episode 45 has success rate: 1.00, collision rate: 0.00, nav time: 18.75, total reward: 0.1424
2021-09-11 02:00:58, INFO: TRAIN in episode 46 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1445
2021-09-11 02:01:00, INFO: TRAIN in episode 47 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1105
2021-09-11 02:01:05, INFO: TRAIN in episode 48 has success rate: 1.00, collision rate: 0.00, nav time: 21.25, total reward: 0.1094
2021-09-11 02:01:10, INFO: TRAIN in episode 49 has success rate: 1.00, collision rate: 0.00, nav time: 22.75, total reward: 0.0934
2021-09-11 02:01:15, INFO: TRAIN in episode 50 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-09-11 02:01:17, INFO: TRAIN in episode 51 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1501
2021-09-11 02:01:22, INFO: TRAIN in episode 52 has success rate: 1.00, collision rate: 0.00, nav time: 20.25, total reward: 0.1216
2021-09-11 02:01:26, INFO: TRAIN in episode 53 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-09-11 02:01:30, INFO: TRAIN in episode 54 has success rate: 1.00, collision rate: 0.00, nav time: 19.50, total reward: 0.1316
2021-09-11 02:01:35, INFO: TRAIN in episode 55 has success rate: 1.00, collision rate: 0.00, nav time: 18.50, total reward: 0.1370
2021-09-11 02:01:39, INFO: TRAIN in episode 56 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-09-11 02:01:44, INFO: TRAIN in episode 57 has success rate: 1.00, collision rate: 0.00, nav time: 23.75, total reward: 0.0841
2021-09-11 02:01:48, INFO: TRAIN in episode 58 has success rate: 1.00, collision rate: 0.00, nav time: 22.50, total reward: 0.0959
2021-09-11 02:01:53, INFO: TRAIN in episode 59 has success rate: 1.00, collision rate: 0.00, nav time: 22.75, total reward: 0.0934
2021-09-11 02:01:57, INFO: TRAIN in episode 60 has success rate: 1.00, collision rate: 0.00, nav time: 16.50, total reward: 0.1805
2021-09-11 02:02:01, INFO: TRAIN in episode 61 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: -0.0372
2021-09-11 02:02:05, INFO: TRAIN in episode 62 has success rate: 1.00, collision rate: 0.00, nav time: 18.25, total reward: 0.1039
2021-09-11 02:02:09, INFO: TRAIN in episode 63 has success rate: 0.00, collision rate: 0.00, nav time: 25.00, total reward: 0.0000
2021-09-11 02:02:11, INFO: TRAIN in episode 64 has success rate: 0.00, collision rate: 1.00, nav time: 25.00, total reward: -0.1287
2021-09-11 02:02:15, INFO: TRAIN in episode 65 has success rate: 1.00, collision rate: 0.00, nav time: 19.00, total reward: 0.1387
